Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index
20241011_trial-2_59187_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp4,0,1902.8,30,59187,Middle,Position,START,3.2,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp4,96
20241011_trial-2_59188_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp5,0,1902.8,30,59187,Left,Position,START,5.133,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp5,154
20241011_trial-2_59189_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp6,0,1902.8,30,59187,Middle,Position,STOP,5.133,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp6,154
20241011_trial-2_59190_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp7,0,1902.8,30,59187,Left,Position,STOP,6.033,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp7,181
20241011_trial-2_59191_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp8,0,1902.8,30,59187,Left cage,Position,START,6.033,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp8,181
20241011_trial-2_59192_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp9,0,1902.8,30,59187,Left,Position,START,7.5,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp9,225
20241011_trial-2_59193_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp10,0,1902.8,30,59187,Left cage,Position,STOP,7.5,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp10,225
20241011_trial-2_59194_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp11,0,1902.8,30,59187,Left,Position,STOP,8.233,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp11,247
20241011_trial-2_59195_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp12,0,1902.8,30,59187,Left cage,Position,START,8.233,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp12,247
20241011_trial-2_59196_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp13,0,1902.8,30,59187,Left,Position,START,8.9,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp13,267
20241011_trial-2_59197_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp14,0,1902.8,30,59187,Left cage,Position,STOP,8.9,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp14,267
20241011_trial-2_59198_M,56:41.3,,1802.2,Media file(s),player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20241011_trial-2_59187/20241011_trial-2_59187_M.mp15,0,1902.8,30,59187,Left,Position,STOP,16.167,C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/1011_trial-2_59187/20241011_trial-2_59187_M.mp15,485
